date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:13	4864/4864	---M--	200	added ('OK')	image/png	etag:%221300-5a5c42f762c00%22	https://preview.colorlib.com/theme/unfold/images/logo-puma.png	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/logo-puma.png	(from https://preview.colorlib.com/theme/unfold/)
17:06:14	1832/1832	---M--	200	added ('OK')	image/png	etag:%22728-5a5c42f66e9c0%22	https://preview.colorlib.com/theme/unfold/images/logo-paypal.png	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/logo-paypal.png	(from https://preview.colorlib.com/theme/unfold/)
17:06:15	2119/2119	---M--	200	added ('OK')	image/png	etag:%22847-5a5c42f486540%22	https://preview.colorlib.com/theme/unfold/images/logo-adobe.png	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/logo-adobe.png	(from https://preview.colorlib.com/theme/unfold/)
17:06:16	814/814	---M--	200	added ('OK')	image/png	etag:%2232e-5a5c42f392300%22	https://preview.colorlib.com/theme/unfold/images/divider.png	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/divider.png	(from https://preview.colorlib.com/theme/unfold/)
17:06:17	45123/45123	---M--	200	added ('OK')	image/jpeg	etag:%22b043-5a5c42f1a9e80%22	https://preview.colorlib.com/theme/unfold/images/about_me_pic2.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/about_me_pic2.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:19	1773/1773	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226ed-5a5c433fdd700%22	https://preview.colorlib.com/theme/unfold/images/svg/001-options.svg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/svg/001-options.svg	(from https://preview.colorlib.com/theme/unfold/)
17:06:20	1670/1670	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22686-5a5c433fdd700%22	https://preview.colorlib.com/theme/unfold/images/svg/002-chat.svg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/svg/002-chat.svg	(from https://preview.colorlib.com/theme/unfold/)
17:06:21	1270/1270	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224f6-5a5c4341c5b80%22	https://preview.colorlib.com/theme/unfold/images/svg/003-contact-book.svg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/svg/003-contact-book.svg	(from https://preview.colorlib.com/theme/unfold/)
17:06:21	1689/1689	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22699-5a5c4341c5b80%22	https://preview.colorlib.com/theme/unfold/images/svg/004-percentage.svg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/svg/004-percentage.svg	(from https://preview.colorlib.com/theme/unfold/)
17:06:23	2011/2011	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227db-5a5c4342b9dc0%22	https://preview.colorlib.com/theme/unfold/images/svg/006-goal.svg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/svg/006-goal.svg	(from https://preview.colorlib.com/theme/unfold/)
17:06:24	2166/2166	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22876-5a5c4342b9dc0%22	https://preview.colorlib.com/theme/unfold/images/svg/005-line-chart.svg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/svg/005-line-chart.svg	(from https://preview.colorlib.com/theme/unfold/)
17:06:24	32429/32429	---M--	200	added ('OK')	image/jpeg	etag:%227ead-5a5c42f762c00%22	https://preview.colorlib.com/theme/unfold/images/person_man_1.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/person_man_1.jpg	(from https://preview.colorlib.com/theme/unfold/)
